threshold,accuracy,precision,recall,specificity,f1,f1_macro,balanced_accuracy,fpr,fnr,tn,fp,fn,tp
0.05,0.8603373872106709,0.8426435877261998,0.987460815047022,0.5503597122302158,0.9093224656138563,0.8027840997011262,0.7689102636386189,0.44964028776978415,0.012539184952978056,1224,1000,68,5355
0.06,0.8704066954361187,0.8562700964630225,0.9821132214641343,0.5980215827338129,0.9148844799450313,0.8217259978470706,0.7900674020989735,0.40197841726618705,0.017886778535865757,1330,894,97,5326
0.07,0.8781221394010723,0.8670917116233448,0.9780564263322884,0.6344424460431655,0.9192374350086655,0.8354844607115783,0.8062494361877269,0.36555755395683454,0.0219435736677116,1411,813,119,5304
0.08,0.8816529357918138,0.8746268656716418,0.9725244329706805,0.6600719424460432,0.9209814022526849,0.8426828385905445,0.8162981877083618,0.33992805755395683,0.027475567029319563,1468,756,149,5274
0.09,0.8842683405256964,0.880449362843729,0.9682832380601143,0.6794064748201439,0.9222797927461139,0.8478816419579047,0.8238448564401291,0.3205935251798561,0.03171676193988567,1511,713,172,5251
0.1,0.8866222047861907,0.88531799729364,0.9651484418218698,0.6951438848920863,0.9235112483458315,0.8522582763578109,0.830146163356978,0.30485611510791366,0.03485155817813019,1546,678,189,5234
0.11,0.888976069046685,0.8901398839986353,0.9621980453623455,0.710431654676259,0.9247673903411608,0.8564969403688842,0.8363148500193023,0.289568345323741,0.037801954637654435,1580,644,205,5218
0.12,0.8896299202301556,0.8931822084835995,0.959063249124101,0.7203237410071942,0.9249510937222123,0.8582265350033986,0.8396934950656476,0.27967625899280574,0.04093675087589895,1602,622,222,5201
0.13,0.8908068523604028,0.8963372494816862,0.9566660520007376,0.7302158273381295,0.9255195789849255,0.8605065443295923,0.8434409396694336,0.2697841726618705,0.0433339479992624,1624,600,235,5188
0.14,0.8913299333071792,0.8993043478260869,0.9535312557624931,0.739658273381295,0.9256242728005012,0.8619870939348295,0.8465947645718941,0.260341726618705,0.046468744237506916,1645,579,252,5171
0.15,0.8925068654374264,0.9023963617281792,0.9513184584178499,0.7491007194244604,0.9262118491921005,0.8641651446249381,0.8502095889211552,0.25089928057553956,0.0486815415821501,1666,558,264,5159
0.16,0.8925068654374264,0.9040927454769014,0.9491056610732067,0.7544964028776978,0.9260525368837711,0.8646538414433216,0.8518010319754523,0.24550359712230216,0.050894338926793285,1678,546,276,5147
0.17,0.89198378449065,0.905022026431718,0.9470772635072838,0.7576438848920863,0.9255721751666967,0.8643590141801072,0.8523605741996851,0.24235611510791366,0.052922736492716206,1685,539,287,5136
0.18,0.8917222440172616,0.906709152062312,0.9444956666052001,0.7630395683453237,0.9252167630057804,0.8645505889874947,0.853767617475262,0.23696043165467626,0.055504333394799925,1697,527,301,5122
0.19,0.8926376356741206,0.9088486140724946,0.9432048681541582,0.7693345323741008,0.9257080807166772,0.8661064561019163,0.8562697002641295,0.2306654676258993,0.056795131845841784,1711,513,308,5115
0.2,0.8906760821237086,0.9096267190569745,0.9391480730223124,0.7724820143884892,0.9241516966067864,0.8642294063558277,0.8558150437054008,0.2275179856115108,0.060851926977687626,1718,506,330,5093
0.21,0.8893683797567674,0.910935536002873,0.935460077447907,0.7769784172661871,0.9230349344978166,0.8631911074162724,0.8562192473570471,0.22302158273381295,0.06453992255209294,1728,496,350,5073
0.22,0.8893683797567674,0.9134598012646793,0.9323252812096625,0.7846223021582733,0.9227961306807811,0.863842714786885,0.858473791683968,0.2153776978417266,0.06767471879033746,1745,479,367,5056
0.23,0.8891068392833791,0.9146275149537793,0.93048128342246,0.7882194244604317,0.9224862888482632,0.8638614264636355,0.8593503539414458,0.21178057553956833,0.06951871657754011,1753,471,377,5046
0.24,0.8888452988099909,0.9156516996909653,0.9288216854139775,0.7913669064748201,0.9221896741120469,0.8638408324793644,0.8600942959443988,0.20863309352517986,0.0711783145860225,1760,464,386,5037
0.25,0.8872760559696613,0.9171391988293397,0.9245804905034114,0.7963129496402878,0.9208448117539026,0.8625568291285408,0.8604467200718495,0.20368705035971224,0.0754195094965886,1771,453,409,5014
0.26,0.8864914345494965,0.9181200660914265,0.9221832933800479,0.7994604316546763,0.9201471941122356,0.861972331233333,0.860821862517362,0.20053956834532374,0.07781670661995206,1778,446,422,5001
0.27,0.8862298940761083,0.9188592456301748,0.920892494929006,0.8017086330935251,0.9198747467305213,0.8618760568639081,0.8613005640112656,0.1982913669064748,0.07910750507099391,1783,441,429,4994
0.28,0.8853145024192494,0.919682422451994,0.9184952978056427,0.8044064748201439,0.9190884767967524,0.8611155066363112,0.8614508863128933,0.19559352517985612,0.08150470219435736,1789,435,442,4981
0.29,0.8842683405256964,0.9200296186597556,0.9164669002397197,0.8057553956834532,0.9182448036951502,0.8601069621518938,0.8611111479615865,0.19424460431654678,0.08353309976028028,1792,432,453,4970
0.3,0.8837452595789198,0.9205936920222635,0.9149917020099576,0.8075539568345323,0.9177841487098862,0.8596954664549208,0.8612728294222449,0.19244604316546762,0.0850082979900424,1796,428,461,4962
0.31,0.8837452595789198,0.9215321680922276,0.913885303337636,0.810251798561151,0.9176928062216462,0.8599147316218403,0.8620685509493935,0.18974820143884893,0.086114696662364,1802,422,467,4956
0.32,0.883876029815614,0.9226467847157502,0.9127789046653144,0.8133992805755396,0.917686318131257,0.8603078727806751,0.863089092620427,0.18660071942446044,0.0872210953346856,1809,415,473,4950
0.33,0.8832221786321434,0.9232062780269058,0.911119306656832,0.8151978417266187,0.917122969837587,0.859756439554775,0.8631585741917254,0.18480215827338128,0.08888069334316799,1813,411,482,4941
0.34,0.8824375572119786,0.9235955056179775,0.9094597086483496,0.8165467625899281,0.9164731022948992,0.8590310777420203,0.8630032356191388,0.18345323741007194,0.09054029135165038,1816,408,491,4932
0.35,0.8815221655551196,0.9239722170076966,0.907615710861147,0.8178956834532374,0.9157209302325582,0.8581685637078285,0.8627556971571921,0.1821043165467626,0.09238428913885303,1819,405,501,4922
0.36,0.8817837060285079,0.9249576829038931,0.9068781117462659,0.8205935251798561,0.915828677839851,0.8586609353186958,0.863735818463061,0.17940647482014388,0.09312188825373409,1825,399,505,4918
0.37,0.8811298548450373,0.92552790346908,0.9052185137377835,0.8223920863309353,0.9152605574718001,0.8581119953989174,0.8638053000343594,0.17760791366906475,0.09478148626221648,1829,395,514,4909
0.38,0.8800836929514843,0.9263815291445874,0.9026369168356998,0.825089928057554,0.9143550947977959,0.8572211488813484,0.8638634224466268,0.17491007194244604,0.0973630831643002,1835,389,528,4895
